queue_item_id,fixture_id,category,doc_id,section_number,split,quality_grade,decision,node_count,training_utility,policy_risk,next_action,finish_reason,completion_tokens,reasoning_tokens,contract_pass,reason_codes,notes
P1-ADJUDICATION-TRAINSTART-0041,GFV1C-HIGH_LETTER_CONTINUATION-0085,high_letter_continuation,98be436a148118e3,2.3,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1870,1600,True,ABST_LAYOUT_ARTIFACTS|PAGE_NUMBER_INTRUSION|SPAN_INDEX_UNRELIABLE,
P1-ADJUDICATION-TRAINSTART-0042,GFV1C-HIGH_LETTER_CONTINUATION-0086,high_letter_continuation,bec784a67b7c24f7,9.02,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,2288,1984,True,REV_INLINE_CONTINUATION_SUSPECTED|PAGINATION_ARTIFACTS|MALFORMED_CLAUSE_MARKER,
P1-ADJUDICATION-TRAINSTART-0043,GFV1C-HIGH_LETTER_CONTINUATION-0089,high_letter_continuation,3e4f66e0c48a7217,6.01,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,2533,2176,True,CONSERVATIVE_ROOT_ONLY|INLINE_LIST_NOT_STRUCTURAL|PAGINATION_ARTIFACTS_PRESENT,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0044,GFV1C-HIGH_LETTER_CONTINUATION-0090,high_letter_continuation,8322bdae4474b768,9.11,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,5137,4800,True,REV_INLINE_CONTINUATION_SUSPECTED|DUPLICATE_LABEL_SUSPECTED|PAGE_ARTIFACTS_PRESENT,
P1-ADJUDICATION-TRAINSTART-0045,GFV1C-HIGH_LETTER_CONTINUATION-0091,high_letter_continuation,a33b4ec81abd472a,6.01,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0046,GFV1C-HIGH_LETTER_CONTINUATION-0092,high_letter_continuation,b38f8c9a4fc322f8,6.15,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0047,GFV1C-HIGH_LETTER_CONTINUATION-0095,high_letter_continuation,0593bac8b4df4b5a,2.17,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,4327,4032,True,REV_INLINE_CONTINUATION_SUSPECTED|PAGE_FOOTER_ARTIFACTS|AMBIGUOUS_INLINE_ENUMERATION,
P1-ADJUDICATION-TRAINSTART-0048,GFV1C-HIGH_LETTER_CONTINUATION-0097,high_letter_continuation,3161945e55309b7f,1.7,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1347,1024,True,ABSTAIN_CROSS_SECTION_SPILLOVER|PAGINATION_ARTIFACTS|SECTION_BOUNDS_UNRELIABLE,
P1-ADJUDICATION-TRAINSTART-0049,GFV1C-HIGH_LETTER_CONTINUATION-0098,high_letter_continuation,8da33bf812f9fd5b,6.21,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,6708,6400,True,REV_HIGH_LETTER_CONTINUATION|REV_PAGE_BREAK_ARTIFACT|REV_SUBLEVEL_AMBIGUITY,
P1-ADJUDICATION-TRAINSTART-0050,GFV1C-HIGH_LETTER_CONTINUATION-0099,high_letter_continuation,a17f6b815260e1b2,10.7,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0051,GFV1C-HIGH_LETTER_CONTINUATION-0100,high_letter_continuation,e5172fae2a28be77,2.17,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1966,1664,True,ABSTAIN_PAGINATION_ARTIFACTS|SPAN_OFFSETS_UNCERTAIN|INLINE_ENUM_AMBIGUITY,
P1-ADJUDICATION-TRAINSTART-0052,GFV1C-HIGH_LETTER_CONTINUATION-0102,high_letter_continuation,fdcf7700367f2b0c,11.06,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,2852,2432,True,TOP_LEVEL_SECTION_ONLY|OFFSET_CERTAINTY_PRIORITY,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0053,GFV1C-HIGH_LETTER_CONTINUATION-0103,high_letter_continuation,064d9f9db1740d4a,2.15,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1429,1152,True,PAGINATION_FOOTERS|SPAN_OFFSETS_UNCERTAIN|CROSSPAGE_LAYOUT_NOISE,
P1-ADJUDICATION-TRAINSTART-0055,GFV1C-HIGH_LETTER_CONTINUATION-0107,high_letter_continuation,71d5f65cc6088901,2.05,train,Q2_PASS_BUT_LOW_UTILITY,review,1,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,3691,3328,True,REV_BOUNDARY_AMBIGUITY|REV_INLINE_CONTINUATION_SUSPECTED,
P1-ADJUDICATION-TRAINSTART-0057,GFV1C-HIGH_LETTER_CONTINUATION-0109,high_letter_continuation,8ebd8e7ed0fbf29e,13.1,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,6815,6528,True,ABST_PAGINATION_ARTIFACTS|ABST_LAYOUT_BREAKS|ABST_SPAN_PRECISION_RISK,
P1-ADJUDICATION-TRAINSTART-0058,GFV1C-HIGH_LETTER_CONTINUATION-0111,high_letter_continuation,4a1b19f4aa9d7364,9.04,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1394,1088,True,ABS_TOC_PAGE_ARTIFACTS|ABS_SPAN_CALC_UNRELIABLE|ABS_LAYOUT_CONTAMINATION,
P1-ADJUDICATION-TRAINSTART-0060,GFV1C-HIGH_LETTER_CONTINUATION-0115,high_letter_continuation,2bd7fa03b9769ba6,3.4,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1942,1664,True,ABSTAIN_PAGINATION_ARTIFACTS|CROSS_PAGE_INLINE_BREAKS|SPAN_OFFSETS_UNCERTAIN,
P1-ADJUDICATION-TRAINSTART-0091,GFV1C-XREF_VS_STRUCTURAL-0141,xref_vs_structural,359e46a4831744f1,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,4500,4096,True,ABS_XREF_STRUCTURAL_CONFLICT|ABS_PAGEBREAK_LAYOUT|ABS_SPAN_OFFSETS_UNCERTAIN,
P1-ADJUDICATION-TRAINSTART-0092,GFV1C-XREF_VS_STRUCTURAL-0145,xref_vs_structural,5c6a85bd1126707d,8.02,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0093,GFV1C-XREF_VS_STRUCTURAL-0147,xref_vs_structural,0e3833d30e9e75b4,2.09,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,3602,3264,True,CLEAR_SECTION_WITH_SUBCLAUSES|ROOT_SPAN_ONLY_TO_AVOID_OFFSET_ERROR,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0094,GFV1C-XREF_VS_STRUCTURAL-0153,xref_vs_structural,2965aea199e0688a,13.10,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1672,1408,True,ABS_CROSS_SECTION_SPILLOVER|ABS_XREF_STRUCTURAL_CONFLICT,
P1-ADJUDICATION-TRAINSTART-0095,GFV1C-XREF_VS_STRUCTURAL-0155,xref_vs_structural,c8e1a4659257f8da,2.1,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,3336,3008,True,STRUCTURE_TOP_LEVEL_ONLY|XREF_INLINE_IGNORED|SPAN_PRECISION_PRIORITY,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0096,GFV1C-XREF_VS_STRUCTURAL-0157,xref_vs_structural,089bd1c4db19961c,4.8,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2719,2432,True,ABS_XREF_STRUCTURAL_CONFLICT|ABS_PAGINATION_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0097,GFV1C-XREF_VS_STRUCTURAL-0159,xref_vs_structural,1d643e83e20330ae,5.21,train,Q2_PASS_BUT_LOW_UTILITY,review,0,low_for_parser_training_use_for_queue,False,send_to_manual_adjudication_for_authoritative_label,stop,3063,2752,True,INLINE_ENUMERATION_AMBIGUITY|XREF_PARENTHETICALS|PAGE_BREAK_ARTIFACT,
P1-ADJUDICATION-TRAINSTART-0098,GFV1C-XREF_VS_STRUCTURAL-0162,xref_vs_structural,409acefdc38efc26,5.09,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1507,1216,True,ABS_XREF_STRUCTURAL_CONFLICT|ABS_PAGINATION_BREAKS|ABS_SPAN_UNCERTAINTY,
P1-ADJUDICATION-TRAINSTART-0099,GFV1C-XREF_VS_STRUCTURAL-0165,xref_vs_structural,6ce5b8478cea6d00,4.02,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2026,1728,True,ABS_XREF_STRUCTURAL_CONFLICT|PAGE_BREAK_ARTIFACT|OFFSET_UNCERTAINTY,
P1-ADJUDICATION-TRAINSTART-0100,GFV1C-XREF_VS_STRUCTURAL-0167,xref_vs_structural,716afff7dfaa4fe0,2.01,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0101,GFV1C-XREF_VS_STRUCTURAL-0169,xref_vs_structural,76484f1235f6350e,6.03,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2935,2624,True,ABS_XREF_STRUCTURAL_CONFLICT|ABS_PAGINATION_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0102,GFV1C-XREF_VS_STRUCTURAL-0174,xref_vs_structural,a340184cddf83a2b,9.3,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,True,retain_for_abstain_calibration_not_token_training,stop,2753,2496,True,ABS_OFFSETS_UNCERTAIN|STRUCTURE_NESTED_COMPLEXITY,abstain_without_explicit_integrity_contamination_signal
P1-ADJUDICATION-TRAINSTART-0103,GFV1C-XREF_VS_STRUCTURAL-0176,xref_vs_structural,cc5577ab1bf8c464,6.06,train,Q2_PASS_BUT_LOW_UTILITY,accepted,0,low_negative_only,False,manual_verify_inline_only_then_keep_or_relabel,stop,938,704,True,INLINE_ENUM_NOT_STRUCTURAL|SINGLE_PARAGRAPH_NO_SUBCLAUSES,accepted_with_zero_nodes
P1-ADJUDICATION-TRAINSTART-0104,GFV1C-XREF_VS_STRUCTURAL-0180,xref_vs_structural,e9c9b1ee1bb12eb4,7.9,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,3084,2752,True,XREFS_NOT_STRUCTURAL|INLINE_ENUM_NONSTRUCT|STRUCT_TOP_LEVEL_ONLY,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0105,GFV1C-XREF_VS_STRUCTURAL-0142,xref_vs_structural,762a01d68558db40,2.1,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1575,1280,True,ABS_OFFSET_UNCERTAINTY|ABS_PAGINATION_ARTIFACTS|ABS_DUPLICATE_ENUM_LABELS,
P1-ADJUDICATION-TRAINSTART-0106,GFV1C-XREF_VS_STRUCTURAL-0146,xref_vs_structural,710302233c116722,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1314,1024,True,ABS_REDLINED_MERGE_ARTIFACTS|ABS_DUPLICATE_SUBSECTION_LABELS|ABS_PAGINATION_SPILLOVER,
P1-ADJUDICATION-TRAINSTART-0107,GFV1C-XREF_VS_STRUCTURAL-0150,xref_vs_structural,1cee1324b659aec7,2.7,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,4214,3968,True,PAGINATION_ARTIFACTS|CHARCOUNT_MISMATCH|SPAN_CALC_UNCERTAIN,
P1-ADJUDICATION-TRAINSTART-0108,GFV1C-XREF_VS_STRUCTURAL-0154,xref_vs_structural,4fe50f2ad6e21d07,2.06,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,4647,4352,True,ABS_XREF_PAREN_INLINE|ABS_PAGEBREAK_ARTIFACT|ABS_UNCERTAIN_SPAN_OFFSETS,
P1-ADJUDICATION-TRAINSTART-0109,GFV1C-XREF_VS_STRUCTURAL-0156,xref_vs_structural,eb04ce53c542fb27,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1875,1600,True,ABS_XREF_STRUCTURAL_CONFLICT|INLINE_PAGINATION_ARTIFACT,
P1-ADJUDICATION-TRAINSTART-0110,GFV1C-XREF_VS_STRUCTURAL-0158,xref_vs_structural,11cf9eb4edb4972a,2.11,train,Q0_FAIL_UNUSABLE,,,none,False,rerun_row_with_output_budget_controls,length,7000,7000,False,,output_not_parseable_json|finish_reason=length|max_completion_hit_with_no_json_output
P1-ADJUDICATION-TRAINSTART-0111,GFV1C-XREF_VS_STRUCTURAL-0160,xref_vs_structural,2ebcba02b72ef993,9.18,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2950,2688,True,ABS_LAYOUT_PAGINATION|ABS_SPAN_UNCERTAINTY,
P1-ADJUDICATION-TRAINSTART-0112,GFV1C-XREF_VS_STRUCTURAL-0163,xref_vs_structural,57373ee1cea58e13,7.03,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,3002,2688,True,PRECISION_OVER_RECALL|XREFS_IGNORED,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0113,GFV1C-XREF_VS_STRUCTURAL-0166,xref_vs_structural,709ac55e9241b10d,8.15,train,Q2_PASS_BUT_LOW_UTILITY,accepted,0,low_negative_only,False,manual_verify_inline_only_then_keep_or_relabel,stop,1457,1216,True,INLINE_ENUM_NONSTRUCTURAL|XREFS_IGNORED|SINGLE_SENTENCE,accepted_with_zero_nodes
P1-ADJUDICATION-TRAINSTART-0114,GFV1C-XREF_VS_STRUCTURAL-0168,xref_vs_structural,71a0bb773262b34a,9.04,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1229,960,True,CROSS_SECTION_SPILLOVER|SECTION_INTEGRITY_COMPROMISED|PAGINATION_ARTIFACTS,
P1-ADJUDICATION-TRAINSTART-0115,GFV1C-XREF_VS_STRUCTURAL-0172,xref_vs_structural,90d33b008e4d6970,2.6,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1742,1472,True,CROSS_SECTION_SPILLOVER|CHARLEN_MISMATCH,
P1-ADJUDICATION-TRAINSTART-0116,GFV1C-XREF_VS_STRUCTURAL-0175,xref_vs_structural,c46da1245d43d6be,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2727,2432,True,ABS_LAYOUT_CONTAMINATION|ABS_SPAN_INDICES_UNCERTAIN|ABS_XREF_STRUCTURAL_CONFLICT_RISK,
P1-ADJUDICATION-TRAINSTART-0117,GFV1C-XREF_VS_STRUCTURAL-0178,xref_vs_structural,ddafa0961bb34725,2.06,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,2193,1920,True,ABS_TEXT_INTEGRITY|ABS_LENGTH_MISMATCH|ABS_SPAN_UNCERTAINTY,
P1-ADJUDICATION-TRAINSTART-0118,GFV1C-XREF_VS_STRUCTURAL-0182,xref_vs_structural,0235113f9274f397,2.01,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,4616,4352,True,ABS_PAGINATION_ARTIFACTS|ABS_OFFSET_UNCERTAIN,
P1-ADJUDICATION-TRAINSTART-0119,GFV1C-XREF_VS_STRUCTURAL-0179,xref_vs_structural,de050c15b3269b1a,8.3,train,Q2_PASS_BUT_LOW_UTILITY,accepted,1,medium_section_level_only,False,manual_refine_clause_level_spans_if_for_token_training,stop,3407,3072,True,STRUCT_BLOCK_LIST_PRESENT|INLINE_ENUMS_NONSTRUCTURAL|CONSERVATIVE_SPAN_SCOPE,accepted_root_only
P1-ADJUDICATION-TRAINSTART-0120,GFV1C-XREF_VS_STRUCTURAL-0183,xref_vs_structural,02b17b4cdedc0a81,2.06,train,Q2_PASS_BUT_LOW_UTILITY,abstain,0,low_for_parser_training_use_for_abstain_model,False,retain_for_abstain_calibration_not_token_training,stop,1336,1088,True,ABS_TEXT_INTEGRITY|ABS_LAYOUT_CONTAMINATION,
